Title,Authors,Published Year,Number of Pages,Cover Image,Subjects
Data Science Solutions,Manav Sehgal,2017,N/A,N/A,
DIY Data Science,Jonathan Dinu,2019,N/A,N/A,Python (computer program language)
Data Science : the Complete Guide to Data Science for Beginners,Wendi Yanofsky,2021,N/A,N/A,
Congo,Michael Crichton,1980,N/A,https://covers.openlibrary.org/b/id/10653144-M.jpg,"kakundakari, type IIb, diamonds, thrillers, science fiction, adventure fiction, adventure stories, Fiction, Archaeology, Gorilla, Ancient Civilization, American Science fiction, Horror stories, Africa, fiction, Fiction, thrillers, Fiction, thrillers, general, Large type books, Fiction, mystery & detective, general, Adventure, Mystery Thriller"
Python for Data Science,Edward Young,2020,N/A,N/A,
Data Science Handbook : a Gentle Introduction to Data Science and Its Algorithms,Fritz Kostelnik,2021,N/A,N/A,
Data Science and Big Data Analytics,EMC Education Services,2014,N/A,N/A,"Database management, Data mining, Operations research, Mathematical & statistical software, Professional, career & trade -> computer science -> database management, Business & economics -> decision sciences -> production/operations management, Professional, career & trade -> computer science -> mathematical & statistical software, Csb0"
Basketball Data Science,"Paola Zuccolotto, Marica Manisera",2020,N/A,https://covers.openlibrary.org/b/id/13650692-M.jpg,"Recreation, Basketball, Statistical methods, Mathematical models, Data processing, R (Computer program language), Basket-ball, Méthodes statistiques, Modèles mathématiques, Informatique, R (Langage de programmation), BUSINESS & ECONOMICS / Statistics, COMPUTERS / Database Management / Data Mining, MATHEMATICS / Recreations & Games"
Statistical learning and data science,Mireille Gettler Summa,2011,N/A,https://covers.openlibrary.org/b/id/14378424-M.jpg,"Statistical methods, COMPUTERS / Machine Theory, BUSINESS & ECONOMICS / Statistics, MATHEMATICS / Probability & Statistics / General, Data mining, Machine learning, Mathematical statistics, Apprentissage automatique, Méthodes statistiques, Exploration de données (Informatique), BUSINESS & ECONOMICS, Statistics, COMPUTERS, Enterprise Applications, Business Intelligence Tools, Intelligence (AI) & Semantics, Machine Theory, MATHEMATICS, Probability & Statistics, General"
Data Science Applications Accross the Industries,Goran Dragosavac,2019,N/A,N/A,
Data Science,Liam Damien,2019,N/A,N/A,
Data Science Handbook,Krystina Lembrick,2022,N/A,N/A,
Getting started with data science,Murtaza Haider,2015,N/A,N/A,"Big data, Data mining"
Data Science,"Gintautas Dzemyda, Jolita Bernatavičienė, Janusz Kacprzyk",2020,N/A,https://covers.openlibrary.org/b/id/10108473-M.jpg,
Building data science teams,D. J. Patil,2011,N/A,https://covers.openlibrary.org/b/id/9929954-M.jpg,"Teams in the workplace, Data structures (Computer science)"
Data Science for Beginners : Grasp the Essence of Data Science and Machine Learning,Lesley Shambaugh,2021,N/A,N/A,
World of Data Science : Different Perspectives on Data Science from Famous Data Scientists,Saul Newbury,2021,N/A,N/A,
Data Engineering and Data Science,"Aynur Unal, Kukatlapalli Pradeep Kumar, Vinay Jha Pillai, Hari Murthy, M. Niranjanamurthy",2022,N/A,N/A,
Data Science and Data Analytics,Amit Kumar Tyagi,2021,N/A,https://covers.openlibrary.org/b/id/14614075-M.jpg,"Mathematics, Big data, COMPUTERS, Database Management, Data Mining, General"
Agile Data Science,Russell Jurney,2013,N/A,https://covers.openlibrary.org/b/id/8514650-M.jpg,"Apache Hadoop, Data Mining, Hadoop, Agile software development, Agile Softwareentwicklung"
Data Science,Henry Gersh,2019,N/A,N/A,
Manipulating Data Science,"Mandeep Singh Sheoran, Rishabh Shukla, Sumit Kumar Shukla",2019,N/A,N/A,
Data Science,Detlev Frick,2021,N/A,https://covers.openlibrary.org/b/id/13561118-M.jpg,
Angewandte Data Science,Lothar B. Blum,2023,N/A,N/A,
Data Science Handbook,Kolla Bhanu Prakash,2022,N/A,N/A,
Data Science,"Francesco Palumbo, Angela Montanari, Maurizio Vichi",2017,N/A,https://covers.openlibrary.org/b/id/9391121-M.jpg,"Databases, Data mining"
Applied Data Science,"Douglas G. Woolford, Donna Kotsopoulos, Boba Samuels",2023,N/A,https://covers.openlibrary.org/b/id/14752988-M.jpg,Mathematics
Responsible Data Science,"Peter C. Bruce, Grant Fleming",2021,N/A,N/A,
Python Data Science,Chaolemen Borjigin,2023,N/A,https://covers.openlibrary.org/b/id/14806355-M.jpg,
Data Science : The Hard Parts,Daniel Vaughan,2023,N/A,N/A,
Introduction to Data Science,Rafael A. Irizarry,2019,N/A,https://covers.openlibrary.org/b/id/14299101-M.jpg,"Women public relations personnel, Leadership in women, Masculinity, Public relations, BUSINESS & ECONOMICS / Public Relations, LANGUAGE ARTS & DISCIPLINES / Communication, BUSINESS & ECONOMICS / Industries / Media & Communications Industries, R (computer program language), Information visualization, Data mining, Statistics, Data processing, Probabilities, Computer algorithms, Quantitative research, Mathematics"
Spatial Data Science,"Edzer Pebesma, Roger Bivand",2023,N/A,N/A,
Data Science for Neuroimaging,"Ariel Rokem, Tal Yarkoni",2023,N/A,N/A,
Data Science Tools,Christopher Greco,2020,N/A,https://covers.openlibrary.org/b/id/14752504-M.jpg,
